revision;file;nodeIdentifier1;nodeIdentifier2
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_52d21ee_0cd5aaf/rev_52d21ee-0cd5aaf.revisions;/modules/swagger-oauth2-auth-server/src/main/scala/com/wordnik/swagger/auth/service/TokenScope.java;public static void setUsername(String username) ;public static void setUsername(String username) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_52d21ee_0cd5aaf/rev_52d21ee-0cd5aaf.revisions;/modules/swagger-oauth2-auth-server/src/main/scala/com/wordnik/swagger/auth/service/TokenScope.java;public static void unsetUsername() ;public static void unsetUsername() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7d577f8_a748922/rev_7d577f8-a748922.revisions;/modules/swagger-oauth2-auth-server/src/main/scala/com/wordnik/swagger/auth/service/TokenScope.java;public static void setUsername(String username) ;public static void setUsername(String username) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7d577f8_a748922/rev_7d577f8-a748922.revisions;/modules/swagger-oauth2-auth-server/src/main/scala/com/wordnik/swagger/auth/service/TokenScope.java;public static String getUsername() ;public static String getUsername() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7d577f8_a748922/rev_7d577f8-a748922.revisions;/modules/swagger-oauth2-auth-server/src/main/scala/com/wordnik/swagger/auth/service/TokenScope.java;public static void unsetUsername() ;public static void unsetUsername() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5369ed1_0b9b59c/rev_5369ed1-0b9b59c.revisions;/samples/java-jersey2/src/main/java/com/wordnik/swagger/sample/resource/QueryResultBean.java;@QueryParam("skip")  private Integer skip;@QueryParam("skip")  private Integer skip
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5369ed1_0b9b59c/rev_5369ed1-0b9b59c.revisions;/samples/java-jersey2/src/main/java/com/wordnik/swagger/sample/resource/QueryResultBean.java;@QueryParam("limit")  private Integer limit;@QueryParam("limit")  private Integer limit
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5369ed1_0b9b59c/rev_5369ed1-0b9b59c.revisions;/samples/java-jersey2/src/main/java/com/wordnik/swagger/sample/resource/QueryResultBean.java;public Integer getSkip() ;public Integer getSkip() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5369ed1_0b9b59c/rev_5369ed1-0b9b59c.revisions;/samples/java-jersey2/src/main/java/com/wordnik/swagger/sample/resource/QueryResultBean.java;public void setSkip(Integer skip) ;public void setSkip(Integer skip) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5369ed1_0b9b59c/rev_5369ed1-0b9b59c.revisions;/samples/java-jersey2/src/main/java/com/wordnik/swagger/sample/resource/QueryResultBean.java;public Integer getLimit() ;public Integer getLimit() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5369ed1_0b9b59c/rev_5369ed1-0b9b59c.revisions;/samples/java-jersey2/src/main/java/com/wordnik/swagger/sample/resource/QueryResultBean.java;public void setLimit(Integer limit) ;public void setLimit(Integer limit) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_eb281d3_9fc507c/rev_eb281d3-9fc507c.revisions;/modules/swagger-annotations/src/main/java/com/wordnik/swagger/annotations/Api.java;boolean hidden() default false;boolean hidden() default false
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_d9f3dd3_e85702c/rev_d9f3dd3-e85702c.revisions;/modules/swagger-models/src/main/java/com/wordnik/swagger/models/parameters/Parameter.java;void setRequired(boolean required);void setRequired(boolean required)
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_1d2404b_b5961ad/rev_1d2404b-b5961ad.revisions;/modules/swagger-models/src/main/java/com/wordnik/swagger/models/properties/FileProperty.java;public FileProperty xml(Xml xml) ;public FileProperty xml(Xml xml) 
