revision;referencesToRenamedMethods
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_9f16fe4_dbbaa12/rev_9f16fe4-dbbaa12;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_fd6c7c7_935aedc/rev_fd6c7c7-935aedc;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_279a695_e9ac84a/rev_279a695-e9ac84a;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_4cc76fb_66d9203/rev_4cc76fb-66d9203;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_71a04d0_06cfbe1/rev_71a04d0-06cfbe1;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_47535a5_5a3f677/rev_47535a5-5a3f677;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_c7ef057_c69228b/rev_c7ef057-c69228b;0
/home/paper219/Desktop/analysis/demonstration//projects/truth/revisions/rev_4f20749_ae32b4c/rev_4f20749-ae32b4c;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_78dc0b2_e299b19/rev_78dc0b2-e299b19;0
/home/paper219/Desktop/analysis/demonstration//projects/truth/revisions/rev_d976c7e_8244a00/rev_d976c7e-8244a00;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_7a765fc_e22534f/rev_7a765fc-e22534f;0
/home/paper219/Desktop/analysis/demonstration//projects/truth/revisions/rev_05a141c_0767b54/rev_05a141c-0767b54;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_2319e19_08f3409/rev_2319e19-08f3409;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_fc7c719_f23a28a/rev_fc7c719-f23a28a;1
/home/paper219/Desktop/analysis/demonstration//projects/graphql-java/revisions/rev_9d94784_8f1681d/rev_9d94784-8f1681d;0
/home/paper219/Desktop/analysis/demonstration//projects/graphql-java/revisions/rev_56eb2a7_b20ae0a/rev_56eb2a7-b20ae0a;0
/home/paper219/Desktop/analysis/demonstration//projects/xodus/revisions/rev_bad3ed8_210f741/rev_bad3ed8-210f741;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_8760480_a77e513/rev_8760480-a77e513;0
/home/paper219/Desktop/analysis/demonstration//projects/xodus/revisions/rev_b1b59d5_956e4bc/rev_b1b59d5-956e4bc;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_8530e8d_549e21f/rev_8530e8d-549e21f;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_137dbfd_a5e8a92/rev_137dbfd-a5e8a92;0
/home/paper219/Desktop/analysis/demonstration//projects/dagger/revisions/rev_ede1926_2477211/rev_ede1926-2477211;0
